职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['Java高级软件工程师'],['https://jobs.51job.com/zhengzhou/85498284.html?s=01&t=0'],['格尔软件股份有限公司'],['郑州'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/66273854.html?s=01&t=0'],['郑州恩普特科技股份有限公司'],['郑州'],['0.6-1万/月'],['06-27']
['java项目经理'],['https://jobs.51job.com/zhengzhou/51114425.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['郑州'],['0.8-1万/月'],['06-28']
['安全审计人员(J10220)'],['https://jobs.51job.com/zhongyuanqu/109252742.html?s=01&t=0'],['北京天融信科技有限公司'],['郑州-中原区'],['6-8千/月'],['06-03']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/101096397.html?s=01&t=0'],['北京北科阳光系统工程技术有限公司'],['郑州'],['0.6-1.2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/guanchenghuizuqu/111889102.html?s=01&t=0'],['广州碧软信息科技有限公司'],['郑州-管城回族区'],['1-1.2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/111490037.html?s=01&t=0'],['传智播客教育集团郑州分校'],['郑州'],['1-1.5万/月'],['06-21']
['Java开发实习生'],['https://jobs.51job.com/zhongyuanqu/114135836.html?s=01&t=0'],['北京寄云鼎城科技有限公司'],['郑州-中原区'],['2-4千/月'],['06-27']
['JAVA高级软件开发工程师'],['https://jobs.51job.com/jinshuiqu/65778550.html?s=01&t=0'],['珠海惠志科技有限公司'],['郑州-金水区'],['0.8-1万/月'],['05-29']
['软件人员（双休+五险一金）'],['https://jobs.51job.com/zhengzhou/107982786.html?s=01&t=0'],['领航信息科技有限公司'],['郑州'],['4-8千/月'],['06-28']
['软件系统工程师（央企）'],['https://jobs.51job.com/zhengzhou-zzxq/112335415.html?s=01&t=0'],['河南泰丰医药有限公司'],['郑州-郑东新区'],['4-8千/月'],['06-03']
['Java架构师'],['https://jobs.51job.com/zhengzhou/102483859.html?s=01&t=0'],['河南拓普计算机网络工程有限公司'],['郑州'],['1.5-2万/月'],['06-28']
